Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/042_shipment_notification.js,      101, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,       25, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        5, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,    11820, "Count Bytes of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/052_shipments_rwd.js,      250, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,       61, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        7, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        1, "Count new", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,    19500, "Count Bytes of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/053_shipments.js,      490, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        8, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        4, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,     2881, "Count Bytes of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/054_filter_list.js,       86, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,       20, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        4, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,        0, "Count Pattern return\s+null", Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,     6665, "Count Bytes of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/055_subCustomer_filtermenu.js,      196, "Count Lines of Code"
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        0, "Count eval", Potential Slow and Code Smell
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,       13, "Count $(", JQuery Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        1, "Count $.", JQuery Utility Function, Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        0, "Count with", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        0, "Count new", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        0, "Count document.write", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        0, "Count Pattern for\s+in", Potential Slow
Do 19 Mai 2016 13:48:16 CEST, ../asset-build-output/resources-3.5.2901/aftersales/js/b71e1898280345da/056_subCustomer_filter.js,        0, "Count Pattern return\s+null", Code Smell
